,x2_5,x97_5,coef,label,time,group,
1,0.775448838,0.867168192,0.820027174,18-29 y,Lockdown,Age,-18% (-22.5% to -13.3%)
3,0.825299482,0.903265621,0.863402947,30-39 y,Lockdown,Age,-13.7% (-17.5% to -9.7%)
5,0.838725988,0.917198219,0.877084935,40-49 y,Lockdown,Age,-12.3% (-16.1% to -8.3%)
7,0.860676381,0.93721918,0.898132737,50-59 y,Lockdown,Age,-10.2% (-13.9% to -6.3%)
9,0.826723083,0.907881735,0.866352576,60-69 y,Lockdown,Age,-13.4% (-17.3% to -9.2%)
11,0.826114417,0.936655147,0.879650113,70-79 y,Lockdown,Age,-12% (-17.4% to -6.3%)
13,0.896991596,1.029354021,0.960896408,80-89 y,Lockdown,Age,-3.9% (-10.3% to 2.9%)
15,0.99018417,1.170072862,1.076377083,90+ y,Lockdown,Age,7.6% (-1% to 17%)
2,0.932682023,1.084301841,1.005638521,18-29 y,Recovery,Age,0.6% (-6.7% to 8.4%)
4,0.942667462,1.08416473,1.010943527,30-39 y,Recovery,Age,1.1% (-5.7% to 8.4%)
6,0.930946393,1.069376531,0.997763611,40-49 y,Recovery,Age,-0.2% (-6.9% to 6.9%)
8,0.970874148,1.092968939,1.030114211,50-59 y,Recovery,Age,3% (-2.9% to 9.3%)
10,0.996409663,1.136061295,1.06394664,60-69 y,Recovery,Age,6.4% (-0.4% to 13.6%)
12,1.000694735,1.173557534,1.083684846,70-79 y,Recovery,Age,8.4% (0.1% to 17.4%)
14,0.963399891,1.134062023,1.045253667,80-89 y,Recovery,Age,4.5% (-3.7% to 13.4%)
16,0.905051502,1.066428007,0.982431814,90+ y,Recovery,Age,-1.8% (-9.5% to 6.6%)
63,0.826141973,0.890557477,0.857745248,Asian or Asian British,Lockdown,Ethnicity,-14.2% (-17.4% to -10.9%)
61,0.836308929,0.939364385,0.886340128,Black or Black British,Lockdown,Ethnicity,-11.4% (-16.4% to -6.1%)
65,0.865892209,0.949385687,0.906678372,Mixed,Lockdown,Ethnicity,-9.3% (-13.4% to -5.1%)
67,0.797836101,0.861480408,0.829047749,Other,Lockdown,Ethnicity,-17.1% (-20.2% to -13.9%)
69,0.853206256,0.931189297,0.891345351,Unknown,Lockdown,Ethnicity,-10.9% (-14.7% to -6.9%)
59,0.88656318,0.957244865,0.921226385,White,Lockdown,Ethnicity,-7.9% (-11.3% to -4.3%)
64,0.987734739,1.153450133,1.067381266,Asian or Asian British,Recovery,Ethnicity,6.7% (-1.2% to 15.3%)
62,0.979472141,1.115555474,1.045301635,Black or Black British,Recovery,Ethnicity,4.5% (-2.1% to 11.6%)
66,0.976063425,1.087235121,1.030150686,Mixed,Recovery,Ethnicity,3% (-2.4% to 8.7%)
68,1.0417691,1.198691843,1.117479361,Other,Recovery,Ethnicity,11.7% (4.2% to 19.9%)
70,0.972804962,1.084965746,1.027355859,Unknown,Recovery,Ethnicity,2.7% (-2.7% to 8.5%)
60,1.003919004,1.129055978,1.064650531,White,Recovery,Ethnicity,6.5% (0.4% to 12.9%)
