"Period","month","completed","Treatment.Function.Code","Total.All"
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_100",35371
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_110",52267
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_120",14092
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_130",47533
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_140",14245
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_150",2616
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_160",10318
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_170",2071
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_300",2568
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_301",21004
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_320",8871
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_330",8283
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_340",1842
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_400",791
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_410",2292
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_430",367
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_502",18814
"RTT-MARCH-2019",2019-03-01,"Completed Pathways For Admitted Patients","C_999",306906
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_100",32213
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_110",47779
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_120",13297
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_130",43573
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_140",12840
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_150",2556
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_160",9659
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_170",1814
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_300",2531
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_301",18489
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_320",8146
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_330",7912
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_340",1817
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_400",628
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_410",2019
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_430",327
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_502",17429
"RTT-APRIL-2019",2019-04-01,"Completed Pathways For Admitted Patients","C_999",281417
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_100",33824
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_110",50463
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_120",13822
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_130",46854
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_140",13038
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_150",2489
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_160",10471
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_170",1937
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_300",2448
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_301",20018
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_320",9040
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_330",8099
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_340",1899
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_400",610
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_410",2192
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_430",401
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_502",18131
"RTT-MAY-2019",2019-05-01,"Completed Pathways For Admitted Patients","C_999",297156
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_100",33382
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_110",48033
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_120",13278
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_130",45985
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_140",13404
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_150",2424
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_160",10373
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_170",2011
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_300",2156
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_301",20211
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_320",8586
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_330",8117
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_340",1966
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_400",661
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_410",2084
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_430",362
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_502",17669
"RTT-JUNE-2019",2019-06-01,"Completed Pathways For Admitted Patients","C_999",290470
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_100",35625
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_110",51787
"RTT-JULY-2019",2019-07-01,"Completed Pathways For Admitted Patients","C_120",14927
